Date,Open,High,Low,Close,Adj Close,Volume,Tomorrow_Close,Naive_Predicted_Close,Close_Lag_1,Close_Lag_2,Daily_Return,Rolling_Vol_7d,Rolling_Vol_30d,SMA_7,SMA_30,Volume_Lag_1,Volume_Change
2014-10-17,382.7560119628906,385.4779968261719,375.3890075683594,383.7579956054688,383.7579956054688,13600700,391.4419860839844,383.7579956054688,382.5559997558594,394.7730102539063,0.0031420128043384565,0.02697314988969218,0.03914806779486881,384.7455749511719,381.66026713053384,26990000.0,-0.49608373471656164
2014-10-18,383.97601318359375,395.1579895019531,378.9710083007813,391.4419860839844,391.4419860839844,11416800,389.5459899902344,391.4419860839844,383.7579956054688,382.5559997558594,0.020023010768524196,0.027071727337645436,0.0372897503498287,388.9088570731027,380.5603332519531,13600700.0,-0.1605726175858595
2014-10-19,391.2539978027344,393.9389953613281,386.4570007324219,389.5459899902344,389.5459899902344,5914570,382.8450012207031,389.5459899902344,391.4419860839844,383.7579956054688,-0.004843619645193642,0.023064728770063343,0.035033134773463454,390.47985403878346,380.3853332519531,11416800.0,-0.48194152477051366
2014-10-20,389.2309875488281,390.0840148925781,378.25201416015625,382.8450012207031,382.8450012207031,16419000,386.4750061035156,382.8450012207031,389.5459899902344,391.4419860839844,-0.01720204787552615,0.020772016130224454,0.034508109496441716,389.3985682896205,379.5167002360026,5914570.0,1.7760259832921075
2014-10-21,382.4209899902344,392.64599609375,380.8340148925781,386.4750061035156,386.4750061035156,14188900,383.1579895019531,386.4750061035156,382.8450012207031,389.5459899902344,0.009481656731152865,0.017457121583137798,0.03428424075255605,387.3421412876674,379.10516662597655,16419000.0,-0.1358243498386016
2014-10-22,386.1180114746094,388.5759887695313,382.2489929199219,383.1579895019531,383.1579895019531,11641300,358.4169921875,383.1579895019531,386.4750061035156,382.8450012207031,-0.00858274545359361,0.016989650344252434,0.03427324431904266,385.682852608817,378.47203267415364,14188900.0,-0.17954880223273118
2014-10-23,382.9620056152344,385.0480041503906,356.4469909667969,358.4169921875,358.4169921875,26456900,358.3450012207031,358.4169921875,383.1579895019531,386.4750061035156,-0.06457126822962156,0.02739889219634654,0.032268306775053074,382.2344229561942,375.8928995768229,11641300.0,1.2726757320917765
2014-10-24,358.59100341796875,364.3450012207031,353.30499267578125,358.3450012207031,358.3450012207031,15585700,347.27099609375,358.3450012207031,358.4169921875,383.1579895019531,-0.0002008581299606238,0.02718155844726548,0.03199019773133192,378.603995186942,373.73090006510415,26456900.0,-0.4109022599019537
2014-10-25,358.6109924316406,359.8609924316406,342.87701416015625,347.27099609375,347.27099609375,18127500,354.7040100097656,347.27099609375,358.3450012207031,358.4169921875,-0.03090319409850706,0.024690769656127924,0.03207895245270259,372.2938537597656,371.58746643066405,15585700.0,0.1630853923789115
2014-10-26,347.48699951171875,359.22100830078125,343.9309997558594,354.7040100097656,354.7040100097656,11272500,352.989013671875,354.7040100097656,347.27099609375,358.3450012207031,0.02140407347467921,0.028490193415096707,0.03234925249482391,367.3164280482701,369.9301005045573,18127500.0,-0.37815473727761684
2014-10-27,354.7770080566406,358.6319885253906,349.8089904785156,352.989013671875,352.989013671875,13033000,357.6180114746094,352.989013671875,354.7040100097656,347.27099609375,-0.004835006905739236,0.028565140878137923,0.03231227220836698,363.05128696986606,368.3790679931641,11272500.0,0.15617653581725444
2014-10-28,353.2149963378906,359.9840087890625,352.6789855957031,357.6180114746094,357.6180114746094,7845880,335.59100341796875,357.6180114746094,352.989013671875,354.7040100097656,0.013113716357861849,0.029032008314638143,0.030885189531484482,358.9288591657366,367.7269683837891,13033000.0,-0.397998925803729
2014-10-29,357.0889892578125,357.8330078125,335.3429870605469,335.59100341796875,335.59100341796875,18192700,345.30499267578125,335.59100341796875,357.6180114746094,352.989013671875,-0.061593676352636795,0.03475220728640232,0.032789126336835075,352.1335754394531,366.39776814778645,7845880.0,1.318758380194446
2014-10-30,335.7090148925781,350.9129943847656,335.0719909667969,345.30499267578125,345.30499267578125,30177900,338.3210144042969,345.30499267578125,335.59100341796875,357.6180114746094,0.02894591678226255,0.031818134033491326,0.03273282712981073,350.2604326520647,365.0098012288411,18192700.0,0.6587917131596739
2014-10-31,345.0090026855469,348.0450134277344,337.1419982910156,338.3210144042969,338.3210144042969,12545400,325.7489929199219,338.3210144042969,345.30499267578125,335.59100341796875,-0.020225535163465924,0.03222625617337553,0.032866740701185726,347.39986310686385,363.5000020345052,30177900.0,-0.5842851888302367
2014-11-01,338.6499938964844,340.52899169921875,321.05499267578125,325.7489929199219,325.7489929199219,16677200,325.8919982910156,325.7489929199219,338.3210144042969,345.30499267578125,-0.037160037210550945,0.03305237316739145,0.033267642962678944,344.3252912248884,361.85590209960935,12545400.0,0.3293478087585888
2014-11-02,326.07501220703125,329.04998779296875,320.6260070800781,325.8919982910156,325.8919982910156,8603620,327.5539855957031,325.8919982910156,325.7489929199219,338.3210144042969,0.00043900479879277476,0.030747691069734604,0.03251707017749254,340.20928955078125,360.7352355957031,16677200.0,-0.4841088432110906
2014-11-03,325.5690002441406,334.00201416015625,325.4809875488281,327.5539855957031,327.5539855957031,12948500,330.49200439453125,327.5539855957031,325.8919982910156,325.7489929199219,0.005099810100901436,0.0313365326242383,0.02855564876830067,336.5757141113281,360.6915018717448,8603620.0,0.5050060323445247
2014-11-04,327.1610107421875,331.7669982910156,325.0769958496094,330.49200439453125,330.49200439453125,15655500,339.4859924316406,330.49200439453125,327.5539855957031,325.8919982910156,0.008969571209719529,0.030858229762182762,0.028177162337634253,332.7005702427455,361.02423502604165,12948500.0,0.2090589643588061
2014-11-05,330.6830139160156,343.3689880371094,330.6830139160156,339.4859924316406,339.4859924316406,19817200,349.2900085449219,339.4859924316406,330.49200439453125,327.5539855957031,0.02721393533736638,0.023978653130931702,0.028089195785893473,333.25699724469865,361.3378011067708,15655500.0,0.2658299000351314
2014-11-06,339.4580078125,352.96600341796875,338.42401123046875,349.2900085449219,349.2900085449219,18797000,342.4150085449219,349.2900085449219,339.4859924316406,330.49200439453125,0.02887900040604885,0.02396608267622161,0.028370478582797936,333.8262852260045,361.7745676676432,19817200.0,-0.05148053206305636
2014-11-07,349.8179931640625,352.73199462890625,341.7760009765625,342.4150085449219,342.4150085449219,16834200,345.4880065917969,342.4150085449219,349.2900085449219,339.4859924316406,-0.019682784596788183,0.02388335187254936,0.027111906740162117,334.411141531808,361.4237345377604,18797000.0,-0.10442091823163269
2014-11-08,342.15399169921875,347.0320129394531,342.15399169921875,345.4880065917969,345.4880065917969,8535470,363.2640075683594,345.4880065917969,342.4150085449219,349.2900085449219,0.008974484091493373,0.01651640034282981,0.026372936227638304,337.2310006277902,360.7724680582682,16834200.0,-0.4929684808306899
2014-11-09,345.3760070800781,363.6260070800781,344.2550048828125,363.2640075683594,363.2640075683594,24205600,366.9240112304688,363.2640075683594,345.4880065917969,342.4150085449219,0.0514518612438124,0.022506089943469077,0.02803055722037216,342.56985909598217,360.82920125325523,8535470.0,1.8358836713151123
